item,label,n,n_missing,mean,sd,median,q1,q3,min,max,pct_1_2,pct_4_5
q1,The plan would work in a Tier 2 spill,50,0,3.28,0.9044109595053951,3.0,3.0,4.0,1.0,5.0,20.0,44.0
q3,Own roles and responsibilities are clear,50,0,2.84,0.8656718518596066,3.0,2.0,3.0,1.0,5.0,36.0,22.0
q4,Response equipment is adequate,50,0,3.64,0.8980704940286691,4.0,3.0,4.0,2.0,5.0,12.0,60.0
q5,Inter-agency coordination is effective,50,0,3.26,0.9435062700547638,3.0,3.0,4.0,1.0,5.0,16.0,36.0
q8,The notification chain is dependable,50,0,2.74,0.9216223495022464,3.0,2.0,3.75,1.0,4.0,46.0,26.0
q9,Funding for preparedness is adequate,50,0,2.56,0.9930369826847296,3.0,2.0,3.0,1.0,5.0,48.0,14.000000000000002
q10,Lessons from incidents are acted upon,50,0,2.48,0.8628382211738,3.0,2.0,3.0,1.0,4.0,48.0,10.0
