q12_group,group_short,count,pct_of_valid,n_valid,n_missing,is_residual
Chattogram Port Authority,CPA,10,23.25581395348837,43,7,False
Bangladesh Navy,Navy,8,18.6046511627907,43,7,False
"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",Govt agency,9,20.930232558139537,43,7,False
Shipping agent,Shipping agent,4,9.30232558139535,43,7,False
Shipping line or vessel operator,Shipping line,6,13.953488372093023,43,7,False
Master or ship's officer,Master/officer,2,4.651162790697675,43,7,False
"Terminal, jetty or oil company",Terminal/oil co.,0,0.0,43,7,False
Other,Other,4,9.30232558139535,43,7,True
