pillar_code,weight,achieved,max_achievable,mean_final_score,mean_doc_score,mean_field_score,n_indicators,score_0_100,band,weighting,pillar_name
A,0.41364221844504895,0.8836681167731407,1.2409266553351468,1.9333333333333333,2.2,1.9333333333333333,15,71.21034212408642,Developing,AHP,Governance & legal foundation
B,0.15334081734161745,0.16206437296207823,0.46002245202485237,1.15,1.45,1.1,20,35.22966591059404,Emerging,AHP,Operational preparedness & response
C,0.4330169642133336,0.4877436957402059,1.2990508926400006,1.0666666666666667,1.4,1.0666666666666667,15,37.54615762196868,Emerging,AHP,"Resilience, financing & continuity"
